,year,player,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
34,2025,khaman maluach,C,84.75,252.8,24.7,,90.75,114.0,9.75,10.3,24.0,30.0,12.1,3.4,3.5,,107.1%,100.4,138.0,144.0
35,2025,alijah martin,SG,73.5,208.4,27.1,,79.5,99.5,8.25,9.3,29.5,38.0,11.1,3.1,3.1,,108.2%,76.7,129.0,137.5
36,2025,liam mcneeley,SF-PF,78.75,214.6,24.3,,80.5,99.5,8.75,10.0,30.5,36.5,11.1,2.8,3.2,,102.2%,87.5,130.0,136.0
37,2025,mackenzie mgbako,SF-PF,79.5,216.4,24.1,,82.25,103.0,9.0,9.3,27.5,33.0,12.0,2.9,3.4,,103.5%,83.7,130.5,136.0
38,2025,jalon moore,SF,78.25,203.4,23.4,,82.25,104.5,9.0,9.5,32.5,39.0,11.7,3.1,3.0,,105.1%,85.5,137.0,143.5
39,2025,collin murrayboyles,SF-PF,78.5,239.2,27.3,,84.75,106.0,8.5,10.3,29.5,34.5,11.2,2.9,3.2,,108.0%,87.6,135.5,140.5
40,2025,grant nelson,PF,82.0,229.8,24.0,,84.0,109.0,9.0,9.8,27.0,30.0,10.5,2.6,3.2,,102.4%,88.2,136.0,139.0
41,2025,ryan nembhard,PG,71.0,175.8,24.5,,74.25,94.0,9.5,8.3,26.5,32.5,11.5,2.9,3.2,,104.6%,78.9,120.5,126.5
42,2025,asa newell,SF-PF,81.0,223.8,24.0,,83.25,107.5,9.25,10.0,29.5,36.5,11.0,2.8,3.3,,102.8%,92.5,137.0,144.0
43,2025,lachlan olbrich,PF,80.75,230.2,24.8,,83.25,107.5,10.0,9.0,23.5,31.0,11.9,3.0,3.5,,103.1%,90.0,131.0,138.5
44,2025,otega oweh,SG,76.25,212.6,25.7,,80.5,101.5,8.5,9.5,27.5,35.0,10.9,2.9,3.2,,105.6%,80.8,129.0,136.5
45,2025,dink pate,SG,78.25,200.8,23.1,,81.75,104.0,8.5,9.0,24.5,32.5,10.6,3.0,3.3,,104.5%,76.5,128.5,136.5
46,2025,micah peavy,SF,78.25,211.6,24.3,,79.25,101.0,8.5,8.8,30.5,35.5,10.9,3.1,3.1,,101.3%,74.8,131.5,136.5
47,2025,tahaad pettiford,PG,72.25,168.8,22.7,,77.5,96.0,8.25,8.5,31.0,42.0,10.6,3.0,3.2,,107.3%,70.1,127.0,138.0
48,2025,labaron philon,PG-SG,74.75,174.6,22.0,,78.25,99.5,8.5,9.0,28.5,32.5,11.5,3.1,3.2,,104.7%,76.5,128.0,132.0
49,2025,drake powell,SF-PF,77.25,200.4,23.6,,84.0,103.0,8.75,10.0,37.5,43.0,10.7,2.8,3.1,,108.7%,87.5,140.5,146.0
50,2025,tyrese proctor,PG-SG,76.25,183.2,22.2,,79.25,100.5,8.25,9.0,30.5,36.5,10.8,3.0,3.2,,103.9%,74.3,131.0,137.0
51,2025,derik queen,C,81.25,247.8,26.4,,84.5,109.5,9.0,9.5,23.5,28.0,12.5,3.3,3.5,,104.0%,85.5,133.0,137.5
52,2025,maxime raynaud,C,84.25,236.8,23.5,,85.25,110.0,9.0,10.3,28.0,31.5,11.3,3.2,3.2,,101.2%,92.7,138.0,141.5
53,2025,jase richardson,PG-SG,72.5,178.4,23.9,,78.0,98.5,8.5,9.5,30.5,38.0,11.0,3.1,3.2,,107.6%,80.8,129.0,136.5
54,2025,will riley,SF-PF,80.25,185.6,20.3,,80.75,104.0,8.5,9.0,27.5,32.0,11.7,3.1,3.2,,100.6%,76.5,131.5,136.0
55,2025,michael ruzic,PF,83.0,221.4,22.6,,84.75,108.0,9.0,9.3,29.5,32.5,11.4,3.0,3.1,,102.1%,83.7,137.5,140.5
56,2025,hunter sallis,SG,75.75,181.4,22.2,,82.0,100.0,8.5,9.8,31.0,37.5,11.0,2.9,3.2,,108.3%,83.3,131.0,137.5
57,2025,kobe sanders,SF,79.0,203.2,22.9,,80.25,103.0,8.5,9.3,30.0,36.0,11.0,3.0,3.2,,101.6%,79.1,133.0,139.0
58,2025,mark sears,PG,70.75,183.4,25.8,,74.0,92.5,8.0,8.8,31.0,37.5,11.0,3.3,3.3,,104.6%,70.4,123.5,130.0
59,2025,max shulga,SG,76.25,206.4,25.0,,77.75,99.0,8.0,9.8,29.5,34.5,11.4,3.1,3.2,,102.0%,78.4,128.5,133.5
60,2025,javon small,PG,73.0,190.0,25.1,,76.75,96.0,8.25,9.8,33.0,40.5,10.7,2.9,3.1,,105.1%,80.9,129.0,136.5
61,2025,thomas sorber,C,81.25,262.8,28.0,,90.0,109.0,8.5,9.0,,,,,,,110.8%,76.5,,
62,2025,adou thiero,PG-SG,78.25,218.4,25.1,,84.0,104.5,9.0,10.3,,,,,,,107.3%,92.7,,
63,2025,john tonje,SG,76.75,211.8,25.3,,81.0,102.5,9.0,9.5,30.0,37.0,11.1,3.2,3.2,,105.5%,85.5,132.5,139.5
64,2025,alex toohey,SF,79.75,222.8,24.6,,82.75,104.5,9.0,10.3,26.5,31.5,11.4,2.9,3.2,,103.8%,92.7,131.0,136.0
65,2025,milos uzan,PG,75.25,186.4,23.1,,77.25,97.5,7.75,9.0,26.5,35.0,10.9,2.9,3.2,,102.7%,69.8,124.0,132.5
66,2025,jamir watkins,SF,77.0,214.6,25.4,,83.25,102.5,9.25,9.8,31.5,37.0,11.2,3.2,3.1,,108.1%,90.7,134.0,139.5
67,2025,brice williams,SG,77.25,205.8,24.2,,82.75,103.0,9.0,10.8,27.5,32.5,11.2,3.0,3.2,,107.1%,97.2,130.5,135.5
68,2025,darrion williams,SF,76.5,236.0,28.3,,78.5,101.0,9.0,10.5,24.0,30.0,11.7,3.0,3.3,,102.6%,94.5,125.0,131.0
69,2025,danny wolf,SF-PF,82.5,251.8,26.0,,86.25,109.0,9.25,9.8,24.0,30.0,11.3,2.9,3.5,,104.5%,90.7,133.0,139.0
70,2025,hansen yang,C,85.0,252.6,24.6,,86.75,111.0,10.0,11.3,26.0,30.0,11.8,3.0,3.4,,102.1%,113.0,137.0,141.0
71,2025,rocco zikarsky,C,87.0,257.0,23.9,,88.75,114.5,9.0,9.8,27.5,31.5,11.9,3.0,3.5,,102.0%,88.2,142.0,146.0
72,2024,michael ajayi,SF,77.8,227.8,26.5,,84.8,106.5,9.5,9.8,27.0,34.5,12.0,3.17,3.21,,109.0%,92.6,133.5,141.0
73,2024,melvin ajinca,SF,79.3,213.8,23.9,,79.5,106.5,8.5,9.8,26.5,31.0,12.0,3.0,3.38,,100.3%,82.9,133.0,137.5
74,2024,trey alexander,SG,75.3,187.0,23.2,,82.5,101.5,9.0,10.0,27.0,32.0,11.0,3.0,3.0,,109.6%,87.5,128.5,133.5
75,2024,reece beekman,PG,73.3,196.4,25.7,,78.5,100.0,9.0,9.0,30.0,37.0,11.0,3.0,3.0,,107.2%,76.5,130.0,137.0
76,2024,adem bona,C,80.3,243.2,26.5,,87.8,108.0,10.0,10.0,35.0,40.0,11.0,3.0,3.0,,109.3%,95.0,143.0,148.0
77,2024,trevon brazile,PF,81.3,215.0,22.9,,87.8,108.5,9.0,10.0,33.0,41.0,11.0,3.0,3.0,,108.0%,92.3,141.5,149.5
78,2024,jalen bridges,SF,78.8,213.4,24.2,,82.0,105.0,9.0,10.0,25.0,32.0,11.0,3.0,3.0,,104.1%,90.0,130.0,137.0
79,2024,matas buzelis,SF,80.8,197.0,21.2,,82.0,105.5,9.0,9.0,31.0,38.0,11.0,3.0,3.0,,101.5%,78.6,136.5,143.5
80,2024,carlton carrington,PG,75.8,194.8,23.9,,80.0,99.0,9.0,9.0,29.0,37.0,11.28,3.0,3.0,,105.6%,78.6,128.0,136.0
81,2024,devin carter,SG,74.3,193.0,24.6,,80.8,98.0,9.0,9.0,35.0,42.0,10.63,3.0,3.0,,108.8%,78.8,133.0,140.0
82,2024,stephon castle,SG,77.5,210.0,24.6,,81.0,102.0,9.0,9.0,29.0,37.0,10.93,3.0,3.0,,104.5%,76.6,131.0,139.0
83,2024,ulrich chomche,C,82.3,232.4,24.2,,88.0,109.0,9.0,10.0,29.0,36.0,11.74,3.0,3.0,,107.0%,94.8,138.0,145.0
84,2024,cam christie,SG,76.5,190.4,22.9,,80.0,101.5,8.0,8.0,33.0,36.0,11.07,3.0,3.0,,104.6%,64.0,134.5,137.5
85,2024,donovan clingan,C,85.8,282.0,27.0,,90.8,115.0,10.0,10.0,26.0,29.0,12.06,3.0,3.0,,105.8%,102.5,141.0,144.0
86,2024,isaiah collier,PG,74.5,204.6,25.9,,76.8,97.5,9.0,9.0,30.0,34.0,10.77,3.0,3.0,,103.0%,76.5,127.5,131.5
87,2024,tristan da silva,PF,80.3,216.8,23.7,,82.3,104.5,9.0,10.0,29.0,36.0,10.81,3.0,3.0,,102.5%,85.5,133.5,140.5
88,2024,pacome dadiet,SF,79.8,216.8,24.0,,81.0,107.5,9.0,9.0,29.0,36.0,11.84,3.0,3.0,,101.6%,76.5,136.5,143.5
89,2024,nfaly dante,C,82.0,260.2,27.2,,90.0,111.0,9.0,10.0,27.0,33.0,11.55,3.0,3.0,,109.8%,92.5,138.0,144.0
90,2024,robert dillingham,PG,73.0,164.2,21.7,,75.0,95.0,8.0,8.0,,,,,,,102.7%,66.0,,
91,2024,nikola djurisic,SF,79.0,208.8,23.5,,80.0,102.5,9.0,10.0,28.0,35.0,10.63,3.0,3.0,,101.3%,85.0,130.5,137.5
92,2024,ryan dunn,PF,78.3,213.6,24.5,,85.5,103.0,9.0,10.0,32.0,39.0,10.99,3.0,3.0,,109.3%,87.8,135.0,142.0
93,2024,zach edey,C,87.8,299.0,27.3,,94.8,115.0,10.0,11.0,26.0,32.0,11.19,3.0,3.0,,108.0%,107.5,141.0,147.0
94,2024,jesse edwards,C,83.5,236.0,23.8,,89.0,111.0,9.0,10.0,31.0,36.0,11.24,3.0,3.0,,106.6%,92.5,142.0,147.0
95,2024,justin edwards,SF,78.0,209.4,24.2,,82.0,102.5,9.0,9.0,28.0,33.0,12.07,3.0,3.0,,105.1%,76.6,130.5,135.5
96,2024,boogie ellis,PG-SG,72.8,185.0,24.6,,79.0,98.0,9.0,10.0,32.0,40.0,11.98,3.0,3.0,,108.6%,85.5,130.0,138.0
97,2024,kyle filipowski,PF,82.8,229.8,23.6,,82.5,107.0,9.0,10.0,27.0,33.0,11.43,3.0,3.0,,99.7%,83.1,134.0,140.0
98,2024,trentyn flowers,SF,78.5,201.4,23.0,,80.3,100.5,9.0,10.0,35.0,42.0,11.01,3.0,3.0,,102.2%,83.1,135.5,142.5
99,2024,enrique freeman,PF,79.3,212.0,23.7,,86.0,108.0,9.0,10.0,31.0,35.0,10.99,3.0,3.0,,108.5%,87.5,139.0,143.0
100,2024,johnny furphy,SF,79.5,188.8,21.0,,80.0,104.5,8.0,10.0,26.0,32.0,11.15,3.0,3.0,,100.6%,76.0,130.5,136.5
101,2024,kyshawn george,SF,79.0,208.8,23.5,,82.3,105.0,9.0,10.3,27.0,32.0,11.9,2.91,3.32,,104.1%,92.3,132.0,137.0
102,2024,tyon grantfoster,SF,77.8,215.2,25.0,,83.8,104.0,8.75,9.3,,,,,,,107.7%,80.9,,
103,2024,pj hall,C,80.3,239.6,26.2,,85.5,103.5,9.0,9.8,32.5,39.5,11.76,3.01,3.35,,106.5%,87.8,136.0,143.0
104,2024,coleman hawkins,PF,80.3,215.2,23.5,,84.0,107.0,8.75,8.8,24.0,29.5,12.05,3.21,3.3,,104.7%,76.6,131.0,136.5
105,2024,ron holland ii,SF,78.5,196.8,22.5,,82.8,104.0,8.75,9.0,30.0,38.0,11.1,2.91,3.1,,105.4%,78.8,134.0,142.0
106,2024,daron holmes ii,C,80.8,236.2,25.5,,85.0,108.0,8.75,9.0,27.5,34.0,11.2,3.03,3.25,,105.3%,78.8,135.5,142.0
107,2024,ariel hukporti,C,82.8,246.2,25.3,,86.5,111.0,9.25,10.3,,,,,,,104.5%,94.8,,
108,2024,oso ighodaro,C,81.5,222.0,23.5,,83.0,104.5,9.0,10.0,35.0,39.5,11.25,3.12,3.09,,101.8%,90.0,139.5,144.0
109,2024,harrison ingram,SF,77.3,233.6,27.5,,84.3,102.5,9.0,10.3,29.0,35.0,11.36,2.94,3.17,,109.1%,92.3,131.5,137.5
110,2024,bronny james,SG,73.5,210.4,27.4,,79.3,98.5,8.5,9.5,32.0,40.5,10.96,3.02,3.09,,107.8%,80.8,130.5,139.0
111,2024,aj johnson,SG,76.3,167.0,20.2,,80.5,102.0,8.5,8.5,29.0,38.0,10.76,2.87,3.15,,105.6%,72.3,131.0,140.0
112,2024,keshad johnson,PF,78.3,224.0,25.7,,82.3,103.0,9.25,10.8,31.5,42.0,11.38,3.02,3.03,,105.1%,99.4,134.5,145.0
113,2024,david jones,SF,75.5,211.2,26.0,,78.8,100.0,8.5,9.5,28.0,34.5,11.08,3.3,3.2,,104.3%,80.8,128.0,134.5
114,2024,dillon jones,SF,76.5,236.8,28.4,,83.0,100.5,9.0,9.3,26.5,33.5,11.08,2.82,3.25,,108.5%,83.3,127.0,134.0
115,2024,isaac jones,C,79.8,235.0,26.0,,87.0,108.0,9.25,10.3,29.0,35.0,11.49,3.0,3.38,,109.1%,94.8,137.0,143.0
116,2024,alex karaban,PF,78.5,219.2,25.0,,83.0,106.5,8.75,9.3,22.5,32.0,11.23,,3.2,,105.7%,80.9,129.0,138.5
117,2024,bobi klintman,PF,80.8,212.2,22.9,,83.0,106.5,8.75,10.0,26.5,32.5,11.49,3.21,3.23,,102.8%,87.5,133.0,139.0
118,2024,dalton knecht,SF,77.3,212.2,25.0,,81.0,103.5,8.5,9.5,31.0,39.0,10.56,2.79,3.07,,104.9%,80.8,134.5,142.5
119,2024,tyler kolek,PG,73.3,196.6,25.8,,74.8,95.0,8.25,9.5,27.0,34.0,10.97,3.08,3.27,,102.0%,78.4,122.0,129.0
120,2024,pelle larsson,SG,77.3,212.4,25.0,,79.5,102.0,8.75,10.3,30.5,38.0,11.15,2.91,3.06,,102.9%,89.7,132.5,140.0
121,2024,jared mccain,SG,74.0,203.2,26.1,,75.5,98.0,8.25,9.5,25.5,33.0,10.87,3.07,3.23,,102.0%,78.4,123.5,131.0
122,2024,kevin mccullar jr,SF,77.3,205.8,24.2,,81.0,103.0,8.75,9.5,,,,,,,104.9%,83.1,,
123,2024,yves missi,C,82.8,229.4,23.6,,86.0,109.5,9.5,10.0,31.0,38.5,11.45,3.12,3.12,,103.9%,95.0,140.5,148.0
124,2024,ajay mitchell,PG,75.3,197.0,24.5,,78.3,101.0,8.5,8.5,28.0,33.5,11.12,2.95,3.11,,104.0%,72.3,129.0,134.5
125,2024,jonathan mogbo,PF,78.3,217.2,24.9,,86.0,108.5,8.75,8.8,31.5,37.5,11.14,3.07,3.02,,109.9%,76.6,140.0,146.0
126,2024,tristen newton,PG,75.3,191.8,23.8,,78.8,100.0,8.5,9.0,25.0,32.5,10.96,2.84,3.24,,104.7%,76.5,125.0,132.5
127,2024,juan nunez,PG,76.0,205.6,25.0,,78.5,102.0,8.5,9.5,22.0,29.0,11.47,3.1,3.41,,103.3%,80.8,124.0,131.0
128,2024,quinten post,C,84.0,244.4,24.3,,86.5,112.0,9.25,10.0,24.0,27.0,11.48,3.03,3.4,,103.0%,92.5,136.0,139.0
129,2024,antonio reeves,SG,76.5,186.6,22.4,,80.3,100.5,9.0,10.0,29.0,36.0,11.44,3.16,3.14,,104.9%,90.0,129.5,136.5
130,2024,zaccharie risacher,SF,80.5,194.6,21.1,,81.5,107.0,8.5,8.8,25.0,31.0,11.51,2.97,3.38,,101.2%,74.4,132.0,138.0
131,2024,jaxson robinson,SG,76.8,188.6,22.5,,83.3,103.0,9.0,9.5,29.5,34.0,11.39,3.06,3.17,,108.5%,85.5,132.5,137.0
132,2024,tidjane salaun,PF,80.8,217.4,23.4,,85.5,110.0,8.5,9.8,27.5,32.0,11.45,3.05,3.37,,105.9%,82.9,137.5,142.0
133,2024,payton sandfort,SF,78.3,212.0,24.3,,80.0,104.0,8.5,9.0,22.0,28.0,11.57,2.84,3.43,,102.2%,76.5,126.0,132.0
134,2024,alexandre sarr,C,83.8,224.2,22.5,,88.3,110.0,9.0,10.0,30.5,37.0,11.43,3.23,3.27,,105.4%,90.0,140.5,147.0
135,2024,baylor scheierman,SF,78.3,201.6,23.1,,80.3,102.5,9.25,9.8,27.5,32.0,10.89,2.94,3.09,,102.6%,90.2,130.0,134.5
136,2024,terrence shannon jr,SF,77.8,219.4,25.5,,80.8,100.0,8.75,8.5,,,,,,,103.9%,74.4,,
137,2024,jamal shead,PG,72.3,200.8,27.0,,75.0,96.0,8.25,8.8,30.0,37.5,10.87,2.87,2.94,,103.8%,72.2,126.0,133.5
138,2024,reed sheppard,PG,73.8,181.6,23.5,,75.3,93.5,7.75,9.0,32.5,42.0,10.96,3.03,3.08,,102.0%,69.8,126.0,135.5
139,2024,kj simpson,PG,72.3,187.0,25.2,,76.5,93.5,8.25,9.3,32.5,40.5,10.49,2.98,3.24,,105.9%,76.3,126.0,134.0
140,2024,tyler smith,PF,81.0,223.8,24.0,,85.0,105.0,8.5,9.0,32.0,38.0,10.74,2.99,3.28,,104.9%,76.5,137.0,143.0
141,2024,cam spencer,SG,75.0,201.8,25.2,,77.0,98.5,8.5,9.8,23.0,30.5,11.07,3.0,3.35,,102.7%,82.9,121.5,129.0
142,2024,naeqwan tomlin,PF,80.3,205.0,22.4,,86.5,109.0,9.0,10.0,27.5,32.5,11.63,3.54,3.43,,107.8%,90.0,136.5,141.5
143,2024,nikola topic,PG,77.8,203.0,23.6,,77.5,102.0,8.0,9.0,,,,,,,99.7%,72.0,,
144,2024,jt toppin,PF,79.0,221.0,24.9,,84.5,106.0,9.25,9.3,28.5,34.0,11.12,3.01,3.27,,107.0%,85.6,134.5,140.0
145,2024,jaylon tyson,SF,77.5,218.2,25.5,,80.0,102.5,8.25,9.5,29.5,36.5,11.13,3.06,3.12,,103.2%,78.4,132.0,139.0
146,2024,jakobe walter,SG,76.3,197.6,23.9,,82.0,102.5,8.75,9.8,30.5,38.5,11.0,2.92,3.04,,107.5%,85.3,133.0,141.0
147,2024,kelel ware,C,83.8,230.0,23.1,,88.5,112.5,9.5,10.3,32.5,36.0,10.97,2.91,3.29,,105.7%,97.4,145.0,148.5
148,2024,jaylen wells,SF,78.5,206.2,23.5,,79.3,103.5,8.25,9.3,27.5,36.0,11.28,3.03,3.08,,101.0%,76.3,131.0,139.5
149,2024,cody williams,SF,78.5,178.4,20.4,,85.0,103.0,8.25,9.0,31.0,35.5,11.17,2.93,3.06,,108.3%,74.3,134.0,138.5
150,2023,amari bailey,SG,75.3,190.8,23.7,,79.0,103.5,8.0,9.3,28.5,35.0,11.0,,3.19,,105.0%,74.0,132.0,138.5
151,2023,emoni bates,SF,80.3,179.2,19.6,,81.0,105.0,8.0,8.3,27.0,33.0,12.0,,3.0,,100.9%,66.0,132.0,138.0
152,2023,anthony black,PG,77.8,210.0,24.4,,79.5,102.5,8.25,9.5,32.0,39.0,11.0,,3.0,,102.3%,78.4,134.5,141.5
153,2023,kobe brown,PF,78.5,252.2,28.8,,84.8,106.5,8.75,9.8,29.0,32.0,11.0,3.0,3.0,,108.0%,85.3,135.5,138.5
154,2023,kobe bufkin,SG,76.3,186.8,22.6,,79.8,102.5,8.0,9.3,29.0,36.0,12.0,,3.0,,104.6%,74.0,131.5,138.5
155,2023,toumani camara,PF,79.0,220.4,24.8,,84.5,107.0,9.0,10.0,29.0,33.0,11.0,3.0,3.0,,107.0%,90.0,136.0,140.0
156,2023,sidy cissoko,SF,77.5,223.8,26.2,,81.8,104.0,9.25,10.0,31.0,36.0,11.24,,3.0,,105.5%,92.5,135.0,140.0
157,2023,jaylen clark,SG,76.0,204.2,24.9,,81.0,101.5,8.5,9.0,,,,,,,106.6%,76.5,,
158,2023,ricky council iv,SF,77.0,208.0,24.7,,81.0,103.0,7.75,8.5,31.0,37.0,11.2,3.0,3.0,,105.2%,65.9,134.0,140.0
159,2023,gradey dick,SG,78.3,204.0,23.4,,80.8,101.0,8.25,9.0,29.0,34.0,11.13,3.0,4.0,,103.2%,74.3,130.0,135.0
160,2023,adam flagler,PG,73.0,191.8,25.3,,76.5,97.0,8.0,9.3,31.0,36.0,10.96,,3.0,,104.8%,74.0,128.0,133.0
161,2023,mouhamed gueye,C,82.3,212.6,22.1,,87.3,110.5,9.0,10.0,,,,,,,106.1%,90.0,,
162,2023,jordan hawkins,SG,76.3,186.0,22.5,,78.8,101.5,8.25,8.8,,,,,,,103.3%,72.2,,
163,2023,taylor hendricks,PF,80.3,213.6,23.3,,84.5,107.0,9.25,10.3,33.0,36.0,11.27,,3.0,,105.3%,94.8,140.0,143.0
164,2023,jalen hoodschifino,PG,76.3,216.6,26.2,,82.3,100.5,9.0,9.8,,,,,,,107.9%,87.8,,
165,2023,andre jackson jr,SF,77.5,198.4,23.2,,81.8,103.0,8.25,9.5,31.0,40.0,10.83,,3.0,,105.5%,78.4,134.0,143.0
166,2023,trayce jacksondavis,C,80.3,240.4,26.2,,85.0,106.0,9.25,10.8,33.0,37.0,11.8,3.0,3.0,,105.9%,99.4,139.0,143.0
167,2023,gg jackson,PF,80.3,214.4,23.4,,83.5,106.0,8.5,10.0,31.0,37.0,11.39,,3.0,,104.0%,85.0,137.0,143.0
168,2023,jaime jaquez jr,SF,78.0,226.4,26.2,,81.5,99.5,8.5,9.5,35.0,39.0,11.21,,3.0,,104.5%,80.8,134.5,138.5
169,2023,keyontae johnson,SF,76.0,238.6,29.0,,84.0,103.0,9.0,9.0,,,,,,,110.5%,81.0,,
170,2023,colby jones,SG,76.5,199.2,23.9,,80.0,103.0,8.25,8.5,30.5,35.0,11.14,3.13,3.33,,104.6%,70.1,133.5,138.0
171,2023,arthur kaluma,PF,78.3,221.8,25.5,,84.5,103.5,8.5,10.0,32.5,34.5,11.35,3.26,3.44,,108.0%,85.0,136.0,138.0
